Trigger Date,Ticker,Strategy,Entry Price,Target,Stop Loss,Current/Exit,P&L (%),Status,Days Held
2026-06-24,ADANIPORTS,EMA Pullback (20),1813.3,1872.4,1773.9,1773.9,-2.17,Stop Loss Hit,3
2026-06-26,ADANIPORTS,EMA Pullback (20),1796.0,1850.99,1759.34,1850.99,3.06,Target Hit,3
2026-06-30,ADANIPORTS,EMA Pullback (20),1810.2,1865.8,1773.13,1865.8,3.07,Target Hit,1
2026-07-01,ADANIPORTS,EMA Pullback (20),1848.2,1907.49,1808.67,1864.4,0.88,Active,3
2026-07-02,ADANIPORTS,MACD Crossover,1883.2,1930.89,1843.46,1864.4,-1.0,Active,2
2026-07-02,BHARTIARTL,MACD Crossover,1875.0,1914.17,1842.36,1914.17,2.09,Target Hit,2
2026-06-25,NESTLEIND,EMA Pullback (20),1402.6,1446.42,1373.39,1446.42,3.12,Target Hit,4
2026-06-26,NESTLEIND,EMA Pullback (20),1402.6,1443.29,1375.47,1443.29,2.9,Target Hit,3
2026-06-30,NESTLEIND,EMA Pullback (20),1405.2,1448.65,1376.24,1448.65,3.09,Target Hit,1
2026-07-01,NESTLEIND,EMA Pullback (20),1453.8,1500.0,1423.0,1473.7,1.37,Active,3
2026-07-01,NESTLEIND,MACD Crossover,1453.8,1490.76,1423.0,1473.7,1.37,Active,3
2026-06-22,SUNPHARMA,EMA Pullback (20),1858.03,1902.45,1828.42,1902.45,2.39,Target Hit,9
2026-07-01,SUNPHARMA,EMA Pullback (20),1861.32,1904.19,1832.75,1904.19,2.3,Target Hit,2
2026-06-22,GRASIM,EMA Pullback (20),3175.2,3265.09,3115.27,3115.27,-1.89,Stop Loss Hit,2
2026-06-26,GRASIM,EMA Pullback (20),3126.6,3207.01,3072.99,3072.99,-1.71,Stop Loss Hit,1
2026-06-30,GRASIM,EMA Pullback (20),3100.0,3181.78,3045.48,3181.78,2.64,Target Hit,3
2026-07-01,GRASIM,EMA Pullback (20),3140.4,3222.93,3085.38,3213.0,2.31,Active,3
2026-07-02,GRASIM,EMA Pullback (20),3169.2,3250.07,3115.29,3213.0,1.38,Active,2
2026-07-03,WIPRO,MACD Crossover,176.08,181.3,171.73,174.32,-1.0,Active,1
2026-07-01,AXISBANK,EMA Pullback (20),1368.7,1406.32,1343.62,1343.62,-1.83,Stop Loss Hit,2
2026-06-24,APOLLOHOSP,EMA Pullback (20),8573.5,8780.62,8435.42,8780.62,2.42,Target Hit,7
2026-06-29,APOLLOHOSP,MACD Crossover,8655.0,8811.52,8524.57,8811.52,1.81,Target Hit,4
2026-07-03,EICHERMOT,EMA Pullback (20),7339.5,7594.85,7169.27,7471.5,1.8,Active,1
2026-06-24,TITAN,EMA Pullback (20),4323.8,4470.18,4226.21,4226.21,-2.26,Stop Loss Hit,1
2026-06-26,TITAN,EMA Pullback (20),4291.3,4428.46,4199.86,4428.46,3.2,Target Hit,3
2026-06-30,TITAN,EMA Pullback (20),4404.0,4543.65,4310.9,4484.4,1.83,Active,4
2026-06-23,ASIANPAINT,EMA Pullback (20),2661.2,2745.85,2604.76,2745.85,3.18,Target Hit,7
2026-06-24,ASIANPAINT,EMA Pullback (20),2667.5,2749.75,2612.67,2749.75,3.08,Target Hit,6
2026-06-26,ASIANPAINT,EMA Pullback (20),2645.2,2721.45,2594.36,2721.45,2.88,Target Hit,3
2026-06-29,ASIANPAINT,EMA Pullback (20),2656.9,2733.9,2605.57,2733.9,2.9,Target Hit,3
2026-07-01,ASIANPAINT,EMA Pullback (20),2716.4,2797.56,2662.29,2754.9,1.42,Active,3
2026-07-02,ONGC,MACD Crossover,235.96,242.73,230.32,242.73,2.87,Target Hit,2
2026-07-03,HCLTECH,MACD Crossover,1139.0,1181.1,1103.91,1134.2,-0.42,Active,1
2026-07-01,BEL,MACD Crossover,416.25,426.57,407.65,426.57,2.48,Target Hit,3
2026-06-22,BAJAJ-AUTO,EMA Pullback (20),10191.0,10497.81,9986.46,9986.46,-2.01,Stop Loss Hit,1
2026-06-24,SBIN,EMA Pullback (20),1034.6,1064.18,1014.88,1037.7,0.3,Active,8
2026-07-01,SBIN,EMA Pullback (20),1047.4,1075.42,1028.72,1037.7,-0.93,Active,3
2026-06-23,CIPLA,MACD Crossover,1433.1,1468.44,1403.65,1468.44,2.47,Target Hit,4
2026-06-25,TATACONSUM,MACD Crossover,1131.3,1161.41,1106.21,1106.21,-2.22,Stop Loss Hit,2
2026-07-03,TATACONSUM,MACD Crossover,1116.7,1148.3,1090.36,1117.9,0.11,Active,1
2026-06-24,INDUSINDBK,EMA Pullback (20),926.1,962.13,902.08,962.13,3.89,Target Hit,7
2026-06-26,INDUSINDBK,EMA Pullback (20),918.95,952.15,896.82,952.15,3.61,Target Hit,5
2026-06-30,INDUSINDBK,EMA Pullback (20),924.2,956.07,902.95,956.07,3.45,Target Hit,3
2026-07-01,INDUSINDBK,EMA Pullback (20),941.6,973.91,920.06,973.91,3.43,Target Hit,2
2026-07-01,INDUSINDBK,MACD Crossover,941.6,967.45,920.06,967.45,2.75,Target Hit,2
2026-06-30,ADANIENT,EMA Pullback (20),3036.0,3154.59,2956.94,3154.59,3.91,Target Hit,2
2026-06-22,DRREDDY,EMA Pullback (20),1290.7,1327.38,1266.25,1327.38,2.84,Target Hit,1
2026-06-22,DRREDDY,MACD Crossover,1290.7,1320.04,1266.25,1320.04,2.27,Target Hit,1
2026-06-23,DRREDDY,EMA Pullback (20),1301.3,1339.52,1275.82,1339.52,2.94,Target Hit,1
2026-07-02,DRREDDY,EMA Pullback (20),1345.7,1388.7,1317.03,1388.7,3.2,Target Hit,1
